Team1,Team2,Stadium,HostCountry,Team1_Venue,Team2_Venue,Team1_Innings,Team2_Innings,MonthOfMatch,MatchWinner
1,12,138,0,Home,Away,Second,First,Dec,12
13,1,36,13,Home,Away,Second,First,Sep,13
4,1,142,3,Home,Away,First,Second,Aug,4
2,5,43,1,Home,Away,First,Second,Jan,5
10,12,86,10,Home,Away,First,Second,Oct,10
5,7,17,12,Neutral,Neutral,Second,First,Oct,5
13,5,36,13,Home,Away,Second,First,Aug,13
13,5,38,13,Home,Away,Second,First,Jun,13
13,15,130,14,Neutral,Neutral,First,Second,Feb,13
13,1,38,13,Home,Away,Second,First,Feb,1
5,12,52,4,Home,Away,First,Second,Mar,12
5,1,61,4,Home,Away,First,Second,Oct,5
10,13,1,14,Neutral,Neutral,Second,First,Oct,10
9,5,149,9,Home,Away,Second,First,Mar,5
15,5,64,16,Home,Away,Second,First,Oct,5
9,4,35,9,Home,Away,First,Second,Feb,9
5,9,146,4,Home,Away,Second,First,Dec,5
4,1,88,3,Home,Away,First,Second,Jun,1
5,14,101,4,Home,Away,First,Second,Jan,5
2,15,34,1,Home,Away,Second,First,Nov,2
15,1,64,16,Home,Away,Second,First,May,1
9,10,149,9,Home,Away,First,Second,Jan,9
12,9,48,12,Home,Away,Second,First,Nov,12
4,13,33,3,Home,Away,First,Second,Jun,13
15,13,64,16,Home,Away,Second,First,Nov,13
12,13,114,12,Home,Away,First,Second,Apr,13
5,9,20,0,Neutral,Neutral,First,Second,Dec,9
1,14,20,0,Home,Away,First,Second,Jan,14
10,9,123,10,Home,Away,First,Second,Dec,10
14,10,81,15,Home,Away,Second,First,Mar,10
1,10,95,0,Home,Away,First,Second,Nov,10
10,14,76,10,Home,Away,First,Second,Dec,14
10,5,86,10,Home,Away,Second,First,Dec,5
14,5,115,15,Home,Away,First,Second,May,14
5,12,130,14,Neutral,Neutral,Second,First,Apr,12
10,14,130,14,Neutral,Neutral,First,Second,Oct,14
7,2,102,6,Home,Away,Second,First,Oct,7
12,15,102,6,Neutral,Neutral,Second,First,Sep,12
5,7,26,12,Neutral,Neutral,Second,First,Mar,5
4,13,93,3,Home,Away,First,Second,Jul,4
6,13,46,5,Home,Away,Second,First,Jun,13
15,10,64,16,Home,Away,First,Second,Nov,10
5,9,13,4,Home,Away,Second,First,Dec,5
4,12,91,3,Home,Away,Second,First,Jul,4
2,12,117,15,Neutral,Neutral,First,Second,Apr,2
2,7,77,1,Home,Away,Second,First,Mar,2
1,13,130,14,Neutral,Neutral,First,Second,May,1
15,1,22,16,Home,Away,Second,First,Oct,1
10,13,86,10,Home,Away,Second,First,Oct,13
1,9,60,4,Neutral,Neutral,First,Second,Nov,1
7,14,102,6,Home,Away,First,Second,Aug,14
14,5,106,15,Home,Away,First,Second,Jun,14
5,1,32,4,Home,Away,First,Second,Sep,5
1,14,138,0,Home,Away,Second,First,Feb,1
1,13,20,0,Home,Away,First,Second,Jan,13
10,13,130,14,Neutral,Neutral,Second,First,Apr,13
5,14,149,9,Neutral,Neutral,First,Second,Mar,14
13,1,38,13,Home,Away,First,Second,Feb,13
1,14,95,0,Home,Away,Second,First,Dec,14
6,1,12,5,Home,Away,Second,First,Aug,1
9,13,35,9,Home,Away,Second,First,Dec,9
5,13,146,4,Home,Away,First,Second,Jan,5
5,14,52,4,Home,Away,First,Second,Jan,14
2,10,34,1,Home,Away,Second,First,Jan,10
13,4,38,13,Home,Away,Second,First,Oct,4
3,9,14,12,Neutral,Neutral,First,Second,Mar,9
0,3,130,14,Neutral,Neutral,First,Second,Feb,3
15,10,64,16,Home,Away,First,Second,Oct,15
12,10,26,12,Home,Away,Second,First,Apr,12
12,14,114,12,Home,Away,Second,First,Feb,12
2,9,43,1,Home,Away,First,Second,Oct,2
1,14,20,0,Home,Away,Second,First,Jan,14
14,12,136,15,Home,Away,First,Second,May,12
5,1,13,4,Home,Away,Second,First,Sep,1
13,15,3,4,Neutral,Neutral,First,Second,Oct,13
4,5,88,3,Home,Away,Second,First,Sep,5
14,12,115,15,Home,Away,Second,First,May,12
1,12,138,0,Home,Away,First,Second,Dec,1
4,6,117,15,Neutral,Neutral,First,Second,Mar,4
5,13,21,3,Neutral,Neutral,First,Second,Jul,5
2,9,46,5,Neutral,Neutral,Second,First,May,2
6,7,12,5,Home,Away,First,Second,Aug,6
2,5,43,1,Home,Away,Second,First,Jun,2
12,13,142,3,Neutral,Neutral,First,Second,Jun,12
1,4,95,0,Home,Away,Second,First,Jan,1
4,13,108,3,Home,Away,Second,First,Jul,4
2,9,106,15,Neutral,Neutral,First,Second,Apr,9
12,13,29,12,Home,Away,First,Second,Feb,12
9,5,8,9,Home,Away,First,Second,Jan,5
9,12,111,0,Neutral,Neutral,First,Second,Jan,12
3,6,14,12,Neutral,Neutral,First,Second,Apr,6
5,4,37,4,Home,Away,Second,First,Jan,5
14,1,80,15,Home,Away,Second,First,Feb,1
12,5,49,12,Home,Away,First,Second,Oct,12
4,13,88,3,Home,Away,Second,First,Jul,4
9,13,135,15,Neutral,Neutral,First,Second,Apr,13
9,1,149,9,Home,Away,Second,First,Feb,9
4,5,27,3,Home,Away,Second,First,Sep,4
1,15,111,0,Home,Away,First,Second,Feb,1
11,8,9,11,Home,Away,Second,First,Aug,11
15,2,64,16,Home,Away,First,Second,Aug,2
5,14,100,4,Home,Away,First,Second,Oct,5
5,13,118,4,Home,Away,First,Second,Mar,5
5,10,130,14,Neutral,Neutral,Second,First,Apr,5
7,3,102,6,Home,Away,Second,First,Oct,7
13,10,38,13,Home,Away,First,Second,Jul,10
9,12,135,15,Neutral,Neutral,Second,First,Apr,9
15,2,22,16,Home,Away,Second,First,Aug,2
15,10,22,16,Home,Away,Second,First,Sep,10
4,9,108,3,Home,Away,First,Second,Jun,4
10,15,99,10,Home,Away,First,Second,Jan,10
9,5,149,9,Home,Away,Second,First,Mar,5
12,14,142,3,Neutral,Neutral,First,Second,Sep,14
5,14,146,4,Home,Away,First,Second,Jan,5
4,13,138,0,Neutral,Neutral,Second,First,Jan,13
4,13,138,0,Neutral,Neutral,Second,First,Feb,13
9,13,130,14,Neutral,Neutral,First,Second,Apr,9
4,14,108,3,Home,Away,First,Second,May,14
10,13,66,4,Neutral,Neutral,First,Second,Oct,10
4,1,88,3,Home,Away,Second,First,May,4
10,4,76,10,Home,Away,Second,First,Oct,10
9,10,149,9,Home,Away,Second,First,Dec,10
4,9,133,3,Home,Away,First,Second,Jun,9
12,1,49,12,Home,Away,Second,First,Mar,12
13,9,36,13,Home,Away,Second,First,Nov,13
2,15,43,1,Home,Away,First,Second,Nov,2
2,13,18,1,Home,Away,First,Second,Feb,13
4,13,33,3,Home,Away,Second,First,May,13
5,10,2,0,Neutral,Neutral,First,Second,Jan,5
4,1,27,3,Home,Away,Second,First,Jun,4
9,13,63,9,Home,Away,Second,First,Feb,13
14,15,115,15,Home,Away,First,Second,May,14
9,15,8,9,Home,Away,First,Second,Jan,15
9,1,47,9,Home,Away,First,Second,Feb,1
1,9,2,0,Home,Away,Second,First,Jan,9
1,4,111,0,Home,Away,Second,First,Dec,1
9,10,35,9,Home,Away,First,Second,Mar,10
9,13,41,3,Neutral,Neutral,First,Second,Jun,13
2,9,43,1,Home,Away,Second,First,Oct,2
15,4,22,16,Home,Away,First,Second,Feb,4
13,5,36,13,Home,Away,First,Second,Aug,13
1,9,114,12,Neutral,Neutral,First,Second,Mar,1
14,10,19,15,Home,Away,First,Second,May,14
10,2,99,10,Home,Away,Second,First,Apr,10
1,4,95,0,Home,Away,First,Second,Dec,4
5,12,121,4,Home,Away,Second,First,Oct,12
9,4,8,9,Home,Away,First,Second,Mar,9
1,14,95,0,Home,Away,First,Second,Mar,1
5,14,134,4,Home,Away,Second,First,Oct,14
14,4,58,15,Home,Away,Second,First,May,14
9,12,16,3,Neutral,Neutral,Second,First,Jun,12
9,4,149,9,Home,Away,First,Second,Feb,9
2,15,43,1,Home,Away,First,Second,Nov,2
9,10,47,9,Home,Away,Second,First,Feb,9
9,12,47,9,Home,Away,Second,First,Feb,9
1,5,36,13,Neutral,Neutral,Second,First,Sep,5
3,7,129,8,Neutral,Neutral,Second,First,Jul,3
9,14,133,3,Neutral,Neutral,First,Second,May,14
9,14,108,3,Neutral,Neutral,Second,First,Jun,14
5,4,75,4,Home,Away,First,Second,Nov,5
1,12,52,4,Neutral,Neutral,First,Second,Oct,12
13,14,130,14,Neutral,Neutral,First,Second,Oct,13
5,9,37,4,Home,Away,First,Second,Nov,9
4,12,142,3,Home,Away,Second,First,Aug,4
10,15,86,10,Home,Away,First,Second,Dec,10
2,14,34,1,Home,Away,Second,First,Oct,2
5,9,2,0,Neutral,Neutral,First,Second,Dec,5
5,15,2,0,Neutral,Neutral,First,Second,Jan,5
12,15,116,12,Home,Away,Second,First,Oct,12
10,14,51,10,Home,Away,Second,First,Dec,10
2,5,43,1,Home,Away,First,Second,Jun,5
5,1,83,4,Home,Away,First,Second,Sep,5
9,1,8,9,Home,Away,Second,First,Mar,1
5,4,71,4,Home,Away,First,Second,Apr,4
1,4,95,0,Home,Away,Second,First,Jan,1
9,13,130,14,Neutral,Neutral,First,Second,Apr,9
4,15,20,0,Neutral,Neutral,First,Second,Jan,4
10,14,86,10,Home,Away,Second,First,Nov,10
1,10,138,0,Home,Away,First,Second,Feb,1
15,5,64,16,Home,Away,Second,First,Aug,5
7,8,90,9,Neutral,Neutral,Second,First,Jan,7
5,1,101,4,Home,Away,Second,First,Oct,1
6,11,46,5,Home,Away,First,Second,Sep,11
5,14,52,4,Home,Away,Second,First,Oct,14
14,1,58,15,Home,Away,Second,First,May,1
4,1,16,3,Home,Away,First,Second,Jun,1
4,14,91,3,Home,Away,Second,First,May,4
1,4,95,0,Home,Away,Second,First,Jan,1
4,5,142,3,Home,Away,First,Second,May,5
9,13,66,4,Neutral,Neutral,Second,First,May,13
1,13,111,0,Home,Away,First,Second,Jan,1
1,13,142,3,Neutral,Neutral,First,Second,Jun,1
12,5,48,12,Home,Away,Second,First,Oct,12
14,1,135,15,Home,Away,Second,First,Apr,1
15,7,85,16,Home,Away,First,Second,Dec,15
5,14,84,7,Neutral,Neutral,First,Second,Sep,5
4,14,32,4,Neutral,Neutral,First,Second,Mar,4
6,14,104,9,Neutral,Neutral,Second,First,Feb,6
13,1,36,13,Home,Away,First,Second,Aug,1
1,12,64,16,Neutral,Neutral,First,Second,Sep,12
13,5,36,13,Home,Away,Second,First,Aug,5
13,12,36,13,Home,Away,First,Second,Aug,13
5,12,63,9,Neutral,Neutral,Second,First,Feb,12
13,2,36,13,Home,Away,Second,First,Sep,13
4,10,142,3,Home,Away,Second,First,Jun,4
10,14,76,10,Home,Away,First,Second,Nov,14
12,9,116,12,Home,Away,First,Second,Aug,9
14,1,115,15,Home,Away,First,Second,Mar,14
2,4,19,15,Neutral,Neutral,First,Second,Apr,4
5,10,83,4,Home,Away,Second,First,Oct,10
4,10,33,3,Home,Away,First,Second,Sep,4
2,10,43,1,Home,Away,Second,First,Jan,10
10,13,130,14,Neutral,Neutral,First,Second,Apr,10
4,13,142,3,Home,Away,Second,First,Jun,13
2,13,43,1,Home,Away,First,Second,Nov,13
5,13,100,4,Home,Away,First,Second,Jan,5
2,15,43,1,Home,Away,First,Second,Jan,2
12,6,14,12,Home,Away,First,Second,Sep,12
4,5,133,3,Home,Away,Second,First,Sep,4
9,12,2,0,Neutral,Neutral,Second,First,Jan,12
9,4,103,9,Home,Away,First,Second,Feb,4
5,13,69,4,Home,Away,Second,First,Oct,5
4,12,93,3,Home,Away,Second,First,May,12
14,4,81,15,Home,Away,Second,First,Apr,14
14,12,115,15,Home,Away,First,Second,Jun,12
2,9,34,1,Home,Away,Second,First,Nov,9
1,14,93,3,Neutral,Neutral,Second,First,May,1
9,10,130,14,Neutral,Neutral,First,Second,Apr,10
12,2,14,12,Home,Away,First,Second,Nov,12
9,13,104,9,Home,Away,Second,First,Jan,9
4,14,108,3,Home,Away,First,Second,Jun,14
1,2,130,14,Neutral,Neutral,Second,First,Apr,1
4,10,26,12,Neutral,Neutral,First,Second,Feb,4
1,10,102,6,Neutral,Neutral,First,Second,Aug,1
1,10,95,0,Home,Away,Second,First,Feb,10
1,14,95,0,Home,Away,First,Second,Feb,1
8,0,125,8,Home,Away,First,Second,Jul,0
12,1,114,12,Home,Away,First,Second,Apr,1
1,14,2,0,Home,Away,First,Second,Jan,14
15,4,64,16,Home,Away,Second,First,Feb,4
1,13,138,0,Home,Away,Second,First,Jan,13
10,14,130,14,Neutral,Neutral,First,Second,Oct,10
5,9,68,4,Home,Away,First,Second,Dec,5
5,14,71,4,Home,Away,Second,First,Dec,14
4,10,108,3,Home,Away,First,Second,Aug,10
4,13,88,3,Home,Away,First,Second,Jul,13
10,9,86,10,Home,Away,First,Second,Dec,10
4,13,20,0,Neutral,Neutral,First,Second,Dec,4
6,11,46,5,Home,Away,Second,First,Sep,6
14,5,115,15,Home,Away,Second,First,Jun,5
14,10,80,15,Home,Away,First,Second,Mar,14
1,5,111,0,Home,Away,Second,First,Jan,1
4,5,130,14,Neutral,Neutral,Second,First,Apr,5
1,14,138,0,Home,Away,First,Second,Feb,14
8,6,7,8,Home,Away,Second,First,Jul,6
12,1,73,12,Home,Away,Second,First,Apr,12
4,2,108,3,Home,Away,First,Second,Jun,4
6,2,46,5,Home,Away,First,Second,May,2
14,15,21,3,Neutral,Neutral,First,Second,Jul,15
14,15,66,4,Neutral,Neutral,Second,First,Feb,14
1,5,130,14,Neutral,Neutral,First,Second,Apr,1
9,1,8,9,Home,Away,First,Second,Mar,1
5,9,130,14,Neutral,Neutral,Second,First,Apr,5
1,10,102,6,Neutral,Neutral,Second,First,Sep,1
5,13,118,4,Home,Away,Second,First,Nov,5
5,9,40,4,Home,Away,Second,First,Oct,9
13,5,36,13,Home,Away,Second,First,Aug,5
15,9,64,16,Home,Away,Second,First,Aug,15
14,10,117,15,Home,Away,First,Second,Apr,10
13,14,100,4,Neutral,Neutral,Second,First,Nov,14
1,5,73,12,Neutral,Neutral,First,Second,Mar,1
5,10,144,2,Neutral,Neutral,Second,First,Sep,10
1,10,20,0,Home,Away,First,Second,Feb,1
9,13,65,0,Neutral,Neutral,First,Second,Jan,13
10,15,76,10,Home,Away,First,Second,Jan,10
6,8,12,5,Home,Away,First,Second,Jul,6
5,14,130,14,Neutral,Neutral,Second,First,Nov,14
14,10,19,15,Home,Away,Second,First,Apr,10
15,7,64,16,Home,Away,First,Second,Oct,15
1,13,138,0,Home,Away,Second,First,Jan,13
13,14,36,13,Home,Away,First,Second,Dec,14
14,5,19,15,Home,Away,Second,First,May,14
14,15,24,0,Neutral,Neutral,First,Second,Feb,14
1,15,101,4,Neutral,Neutral,Second,First,Mar,1
5,14,111,0,Neutral,Neutral,Second,First,Mar,5
13,12,36,13,Home,Away,First,Second,Jul,13
15,2,64,16,Home,Away,Second,First,Aug,15
1,13,20,0,Home,Away,Second,First,Nov,1
10,13,76,10,Home,Away,Second,First,Mar,10
14,1,135,15,Home,Away,First,Second,Jun,1
5,15,63,9,Neutral,Neutral,First,Second,Mar,5
4,15,93,3,Home,Away,Second,First,Jul,4
1,12,51,10,Neutral,Neutral,First,Second,Oct,1
12,14,73,12,Home,Away,First,Second,Jan,12
9,4,47,9,Home,Away,First,Second,Mar,4
1,15,65,0,Home,Away,First,Second,Dec,1
3,6,144,2,Home,Away,First,Second,Sep,3
12,10,17,12,Home,Away,First,Second,Mar,12
5,13,118,4,Home,Away,Second,First,Dec,5
5,12,36,13,Neutral,Neutral,First,Second,Sep,5
14,5,19,15,Home,Away,First,Second,Mar,14
5,8,109,12,Neutral,Neutral,First,Second,Feb,5
13,5,36,13,Home,Away,First,Second,Aug,5
4,13,91,3,Home,Away,Second,First,Jun,13
5,14,75,4,Home,Away,Second,First,Oct,14
1,9,95,0,Home,Away,Second,First,Dec,1
5,4,118,4,Home,Away,First,Second,Dec,4
10,13,130,14,Neutral,Neutral,Second,First,Apr,13
15,0,22,16,Home,Away,First,Second,Oct,0
1,10,45,14,Neutral,Neutral,Second,First,Oct,1
13,14,95,0,Neutral,Neutral,First,Second,Feb,14
2,11,43,1,Home,Away,First,Second,Dec,2
15,10,64,16,Home,Away,First,Second,Mar,10
10,15,130,14,Neutral,Neutral,First,Second,Apr,10
15,12,22,16,Home,Away,First,Second,Aug,12
14,9,4,15,Home,Away,First,Second,Apr,14
1,9,138,0,Home,Away,Second,First,Feb,1
13,12,38,13,Home,Away,Second,First,Aug,13
12,15,29,12,Home,Away,First,Second,Nov,12
9,5,149,9,Home,Away,First,Second,Jan,9
13,5,62,13,Home,Away,Second,First,Jul,13
2,15,18,1,Home,Away,Second,First,Dec,2
1,5,138,0,Home,Away,First,Second,Mar,1
1,14,138,0,Home,Away,First,Second,Dec,1
15,10,64,16,Home,Away,Second,First,Aug,10
9,14,142,3,Neutral,Neutral,First,Second,Jun,14
5,13,75,4,Home,Away,Second,First,Nov,5
9,14,149,9,Home,Away,Second,First,Jan,9
7,9,32,4,Neutral,Neutral,First,Second,Feb,9
1,9,65,0,Home,Away,Second,First,Dec,9
11,8,0,11,Home,Away,Second,First,Jun,11
1,4,95,0,Home,Away,Second,First,Jan,1
10,13,130,14,Neutral,Neutral,First,Second,Nov,10
1,5,95,0,Home,Away,Second,First,Dec,5
10,14,20,0,Neutral,Neutral,Second,First,Jan,10
15,1,64,16,Home,Away,First,Second,May,1
4,9,137,3,Home,Away,Second,First,Jul,4
13,10,36,13,Home,Away,Second,First,Aug,10
5,1,40,4,Home,Away,Second,First,Oct,5
10,9,59,10,Home,Away,First,Second,Dec,10
14,15,80,15,Home,Away,First,Second,Apr,14
10,14,130,14,Neutral,Neutral,First,Second,Oct,10
14,1,28,15,Home,Away,First,Second,Apr,1
13,9,36,13,Home,Away,Second,First,Mar,13
1,5,24,0,Home,Away,First,Second,Jan,1
1,4,95,0,Home,Away,First,Second,Feb,1
2,14,43,1,Home,Away,Second,First,Oct,14
13,5,38,13,Home,Away,First,Second,Jul,13
2,4,2,0,Neutral,Neutral,First,Second,Mar,2
12,14,43,1,Neutral,Neutral,Second,First,Nov,12
2,10,43,1,Home,Away,Second,First,Apr,2
15,5,64,16,Home,Away,Second,First,Jul,5
12,5,26,12,Home,Away,First,Second,Nov,12
12,1,49,12,Home,Away,First,Second,Apr,1
10,11,33,3,Neutral,Neutral,First,Second,May,10
1,13,95,0,Home,Away,First,Second,Feb,1
1,10,65,0,Home,Away,Second,First,Jan,1
15,0,22,16,Home,Away,Second,First,Jul,0
12,15,73,12,Home,Away,First,Second,Feb,12
1,12,111,0,Home,Away,First,Second,Nov,12
9,13,47,9,Home,Away,First,Second,Feb,9
4,10,133,3,Home,Away,First,Second,Sep,10
1,14,95,0,Home,Away,Second,First,Jan,14
2,7,53,1,Home,Away,Second,First,Mar,2
5,1,66,4,Home,Away,Second,First,Oct,1
14,15,111,0,Neutral,Neutral,First,Second,Feb,14
4,1,93,3,Home,Away,Second,First,Sep,1
12,14,26,12,Home,Away,First,Second,Jan,12
4,12,91,3,Home,Away,Second,First,Sep,4
5,13,65,0,Neutral,Neutral,Second,First,Feb,5
1,10,95,0,Home,Away,First,Second,Jan,1
9,1,35,9,Home,Away,Second,First,Feb,1
5,12,121,4,Home,Away,First,Second,Oct,12
0,11,130,14,Neutral,Neutral,Second,First,Mar,0
2,5,16,3,Neutral,Neutral,First,Second,Jun,5
13,5,38,13,Home,Away,First,Second,Aug,5
12,2,116,12,Home,Away,First,Second,Oct,12
12,13,17,12,Home,Away,Second,First,Apr,12
4,14,16,3,Home,Away,First,Second,May,4
9,13,35,9,Home,Away,First,Second,Mar,13
4,1,133,3,Home,Away,First,Second,Sep,1
2,10,43,1,Home,Away,First,Second,Jan,10
3,4,58,15,Neutral,Neutral,Second,First,Mar,4
5,12,142,3,Neutral,Neutral,Second,First,Jun,5
1,14,2,0,Home,Away,Second,First,Jan,14
9,2,35,9,Home,Away,Second,First,Feb,9
2,12,34,1,Home,Away,First,Second,Mar,12
12,5,73,12,Home,Away,First,Second,Dec,12
14,1,80,15,Home,Away,Second,First,Apr,14
9,5,63,9,Home,Away,Second,First,Mar,5
5,1,100,4,Home,Away,Second,First,Feb,1
13,9,36,13,Home,Away,First,Second,Sep,13
7,0,102,6,Home,Away,First,Second,Oct,0
1,14,95,0,Home,Away,First,Second,Jan,14
5,15,146,4,Home,Away,First,Second,Apr,5
1,9,138,0,Home,Away,Second,First,Jan,1
14,15,3,4,Neutral,Neutral,Second,First,Oct,14
4,13,27,3,Home,Away,First,Second,Jul,4
15,2,22,16,Home,Away,First,Second,Apr,15
10,14,111,0,Neutral,Neutral,First,Second,Jan,14
1,5,138,0,Home,Away,Second,First,Jan,1
2,4,43,1,Home,Away,First,Second,Oct,2
5,13,40,4,Home,Away,Second,First,Jan,5
2,14,43,1,Home,Away,First,Second,Dec,14
13,4,36,13,Home,Away,Second,First,Mar,13
1,10,111,0,Home,Away,Second,First,Jan,1
10,14,95,0,Neutral,Neutral,First,Second,Jan,10
9,10,63,9,Home,Away,Second,First,Mar,9
1,10,2,0,Home,Away,Second,First,Dec,1
5,14,61,4,Home,Away,Second,First,Jan,14
2,13,18,1,Home,Away,Second,First,Feb,2
0,7,130,14,Neutral,Neutral,Second,First,Oct,0
5,9,2,0,Neutral,Neutral,Second,First,Jan,5
14,5,136,15,Home,Away,Second,First,Mar,14
10,15,99,10,Home,Away,First,Second,Sep,10
2,13,130,14,Neutral,Neutral,Second,First,Apr,13
4,13,93,3,Home,Away,Second,First,Jul,13
4,15,108,3,Home,Away,Second,First,May,4
4,10,108,3,Home,Away,First,Second,May,10
4,13,93,3,Home,Away,Second,First,May,4
5,10,16,3,Neutral,Neutral,First,Second,Jun,5
12,5,17,12,Home,Away,Second,First,Dec,12
4,10,91,3,Home,Away,Second,First,Sep,10
9,10,35,9,Home,Away,Second,First,Dec,9
10,9,76,10,Home,Away,First,Second,Apr,10
14,4,106,15,Home,Away,Second,First,Mar,4
15,5,64,16,Home,Away,Second,First,Jul,5
11,7,0,11,Home,Away,First,Second,Jun,11
10,14,138,0,Neutral,Neutral,Second,First,Jan,10
5,13,43,1,Neutral,Neutral,First,Second,Jan,13
2,12,43,1,Home,Away,First,Second,Mar,12
9,5,63,9,Home,Away,Second,First,Jan,9
13,14,65,0,Neutral,Neutral,Second,First,Jan,14
9,5,149,9,Home,Away,First,Second,Jan,5
2,13,43,1,Home,Away,First,Second,Jan,13
12,5,114,12,Home,Away,Second,First,Feb,12
10,13,130,14,Neutral,Neutral,First,Second,Mar,10
2,13,83,4,Neutral,Neutral,Second,First,Dec,13
14,9,115,15,Home,Away,First,Second,Mar,9
9,15,17,12,Neutral,Neutral,Second,First,Mar,9
5,9,108,3,Neutral,Neutral,First,Second,Jun,9
9,13,149,9,Home,Away,First,Second,Feb,13
0,6,57,4,Neutral,Neutral,Second,First,Mar,0
10,15,112,10,Home,Away,Second,First,Oct,10
5,14,101,4,Home,Away,First,Second,Nov,14
13,9,36,13,Home,Away,Second,First,Jun,13
14,15,20,0,Neutral,Neutral,Second,First,Jan,14
9,1,149,9,Home,Away,First,Second,Mar,9
5,13,148,4,Home,Away,Second,First,Feb,5
9,15,102,6,Neutral,Neutral,First,Second,Oct,9
5,10,75,4,Home,Away,First,Second,Nov,5
14,15,36,13,Neutral,Neutral,First,Second,Dec,15
12,1,29,12,Home,Away,Second,First,Apr,12
5,15,14,12,Neutral,Neutral,Second,First,Feb,5
13,5,36,13,Home,Away,First,Second,Aug,13
13,5,38,13,Home,Away,Second,First,Jul,13
13,15,130,14,Neutral,Neutral,First,Second,Oct,13
13,14,138,0,Neutral,Neutral,Second,First,Jan,14
1,13,2,0,Home,Away,First,Second,Mar,13
